id,name,email,phone,date_of_birth,country,city,address,role,image,created_at,updated_at,deleted_at
1,"Oleta Pfeffer II",hmorissette@example.net,1-520-249-7889,2010-06-06,"Antarctica (the territory South of 60 deg S)",Einostad,"820 Coralie Springs
Lake Jordifurt, MT 13437-3090",admin,https://via.placeholder.com/640x480.png/00dd22?text=rem,2024-11-06T18:17:21.000000Z,2024-04-22T13:39:38.000000Z,
2,"Santiago Roberts",nader.clemmie@example.com,504-876-4400,1994-04-27,Jersey,"Lake Nellaberg","7018 Bailey Crest Suite 682
West Lisettetown, MN 55615-2518",admin,https://via.placeholder.com/640x480.png/009999?text=fuga,2024-06-02T21:29:04.000000Z,2024-04-22T13:39:38.000000Z,
3,"Mrs. Pansy Schuppe",kelley62@example.net,325-815-0906,2009-01-15,"Faroe Islands",Spencerland,"68672 Kessler Trace
Klockotown, WI 63724",admin,https://via.placeholder.com/640x480.png/001177?text=consequuntur,2024-05-27T23:53:26.000000Z,2024-04-22T13:39:38.000000Z,
4,"Lavinia McDermott",gianni.johns@example.com,260-323-0932,1981-01-03,Liberia,Cotyport,"76101 Wendell Village Apt. 736
Toyburgh, WY 46761-2540",admin,https://via.placeholder.com/640x480.png/00eecc?text=omnis,2024-02-21T04:47:14.000000Z,2024-04-22T13:39:38.000000Z,
5,"Ms. Kirstin Lemke",kole28@example.net,979-461-1910,2015-12-17,"Saint Lucia","East Myra","70752 Verdie Hills Suite 663
North Hubertbury, SC 20994-0571",admin,https://via.placeholder.com/640x480.png/0000aa?text=sint,2024-10-30T11:31:26.000000Z,2024-04-22T13:39:38.000000Z,
6,"Miss Natalia McDermott MD",greenholt.carole@example.net,1-917-643-0451,1978-02-05,"Christmas Island","Port Julesburgh","702 Hyatt Loaf
DuBuqueburgh, PA 78239",admin,https://via.placeholder.com/640x480.png/001155?text=enim,2024-04-23T00:53:47.000000Z,2024-04-22T13:39:38.000000Z,
7,"Prof. Sigurd Casper",antonina65@example.com,+19383929803,2000-01-02,Canada,Welchfort,"2679 Cedrick Inlet Suite 192
Port Catharine, MA 43703",admin,https://via.placeholder.com/640x480.png/001188?text=sed,2024-07-29T14:39:45.000000Z,2024-04-22T13:39:38.000000Z,
8,"Loyal Weimann",lane28@example.net,848-899-3893,1982-10-11,Malawi,"Port Cynthia","80488 Feeney Shore Apt. 465
New Nicolamouth, OR 58573",admin,https://via.placeholder.com/640x480.png/009999?text=omnis,2024-01-28T13:18:58.000000Z,2024-04-22T13:39:38.000000Z,
9,"Ari Bahringer",katelyn37@example.org,+1.718.924.0400,1981-08-29,Eritrea,"Port Winnifredland","4882 Thiel Point Suite 809
North Madisonburgh, TX 43178",admin,https://via.placeholder.com/640x480.png/008877?text=sed,2024-06-24T09:58:43.000000Z,2024-04-22T13:39:38.000000Z,
10,"Prof. Shyann DuBuque Jr.",mallie59@example.net,1-720-848-5534,1977-05-03,Malta,"South Nicoletown","7050 Mikel Mill Apt. 360
East Olen, VT 19459",admin,https://via.placeholder.com/640x480.png/003311?text=repellendus,2024-05-11T05:49:31.000000Z,2024-04-22T13:39:38.000000Z,
